candidato,creado,fav,rt,texto
Cynthia_Viteri,01/07/2017,141.0,90.0,En #Bolivar 2 medidas para flias. pobres: $0 por energia electrica hasta 130kwh y casa a 20 anos plazo sin entrada https://t.co/yKGYYmrXDz
Cynthia_Viteri,01/07/2017,168.0,98.0,#Chimbo se anima con el #CambioPositivo. GRACIAS por recibirnos con tanto carino y alegria! https://t.co/eleSmTK7if
Cynthia_Viteri,01/07/2017,34.0,19.0,En vivo desde @RadioSonoritmo  (90.3 - 90.7 FM) #SanMiguel #Bolivar https://t.co/YzqbKjXITO
Cynthia_Viteri,01/07/2017,73.0,44.0,#Ecuador buenos dias! hoy desde la provincia de #Bolivar junto a @MauricioPozoec. Nuestro compromiso es sacar al pais de la crisis.
Cynthia_Viteri,01/07/2017,164.0,164.0,Nada ni nadie tiene derecho a frenar tus suenos ni tu futuro. Ten la conviccion: viene un #CambioPositivo para ti! https://t.co/CUuPmpTAWG
Cynthia_Viteri,01/07/2017,137.0,112.0,Me llevo carino rosas y certeza de que el #CambioPositivo mejorara la calidad de vida de nuestra gente en Ventanas https://t.co/jK6NEN2997
Cynthia_Viteri,01/06/2017,116.0,89.0,Los problemas del campo tienen el rostro de los agricultores. Para ellos menos impuestos bajo costo a la energia https://t.co/IeCAVbM21S
Cynthia_Viteri,01/06/2017,151.0,195.0,Haremos realidad el sueno de miles de ecuatorianos #MICASA es el #PlanNacionaldeVivienda.Sin entradacuotas desde $ https://t.co/C0JHWj8jn3
Cynthia_Viteri,01/06/2017,172.0,212.0,Tu progreso y el de tu familia debe ser impulsado no disminuido. Levantemos juntos un gobierno con alma. Ya toca https://t.co/cgsVwdz88H
Cynthia_Viteri,01/06/2017,70.0,40.0,Buenos dias #LosRios! Hoy llevamos nuestra propuesta de #CambioPositivo a Ventanas Puebloviejo San Juan Vinces y Babahoyo.
Cynthia_Viteri,01/05/2017,279.0,262.0,Quien va a votar por un hombre que representa la pobreza y amenaza con quitarnos la dolarizacion? https://t.co/38sj1QVpXE
Cynthia_Viteri,01/05/2017,176.0,196.0,Se imaginan lo que pasaria con las personas que han adquirido deudas en dolares si le ponen moneda propia? https://t.co/MluGrQnRDT
Cynthia_Viteri,01/05/2017,142.0,100.0,Lo reitero: en nuestro gobierno protegeremos la dolarizacion para proteger tu porvenir. https://t.co/aBFRmf7GfD
Cynthia_Viteri,01/05/2017,179.0,158.0,El momento de salvar al Ecuador es ahora. Tenemos que unirnos mas que nunca no seremos Venezuela! https://t.co/AwmURpw51r
Cynthia_Viteri,01/05/2017,125.0,131.0,Nunca mas nuestro salario se hara polvo en nuestras manos. No seremos Venezuela con moneda propia devaluada. https://t.co/X5EjCeDQ0Y
Cynthia_Viteri,01/05/2017,90.0,102.0,Familias pobres de #Tungurahua se beneficiaran de tarifa $0 en consumo de hasta 130kw/h. El #CambioPositivo enciend https://t.co/FzUFYWAToz
Cynthia_Viteri,01/05/2017,167.0,121.0,Entiendo tu historia porque la he vivido. Esas dificultades deberian ser derribadas. Hagamoslo juntos ya toca un https://t.co/ta9UK5punP
Cynthia_Viteri,01/05/2017,94.0,84.0,Su lucha por la verdad es pilar de la democracia. #DiaDelPeriodista https://t.co/K9EzK4kwOz
Cynthia_Viteri,01/05/2017,27.0,20.0,#EnVivo desde @RadioCentroAmb #Ambato 91.7FM https://t.co/o4SlguNhnM
Guillermo_Lasso,01/22/2017,169.0,117.0,Gracias Babahoyo!!! Masiva asistencia de simpatizantes que apoyan nuestra propuesta #1MillonDeEmpleos en 4 anos https://t.co/XosMkYralR
Guillermo_Lasso,01/22/2017,124.0,79.0,Cabalgata caravana y cambio por Mocache y Ventanas. Esta tarde ha sido una verdadera fiesta en Los Rios. El CAMBIO https://t.co/Y5zrwFW0IQ
Guillermo_Lasso,01/21/2017,101.0,74.0,Caminata en la ciudad de Buena Fe en la Provincia de Los Rios. Gracias por tanto carino y apoyo a nuestra propuest https://t.co/pP6yNle9Wy
Guillermo_Lasso,01/21/2017,69.0,52.0,Empezamos la jornada con una rueda de prensa junto a @andrespaezec en Quevedo Provincia de Los Rios https://t.co/JBiU4tT8D0
